c1_balance,c1_shares,c2_balance,c2_shares,s_shares,s_tau,s_valuation
190.41067342140508,0.0,101.5719521094109,18.396119591172265,18.396119591172265,0.01,97.017374469184
190.41067342140508,0.0,101.5657264141254,18.39728839922082,18.39728839922082,0.01,97.02360016446951
190.41067342140508,0.0,101.56264454564429,18.39786698686953,18.39786698686953,0.01,97.02668203295062
190.41067342140508,0.0,101.5611189841589,18.398153394534432,18.398153394534432,0.01,97.02820759443601
190.41067342140508,0.0,101.56036382225867,18.398295167989563,18.398295167989563,0.01,97.02896275633624
190.41067342140508,0.0,101.56036382225867,18.398295167989563,18.398295167989563,0.01,97.02896275633624
190.41067342140508,0.0,101.5599900149214,18.398365346256842,18.398365346256842,0.01,97.02933656367351
190.41067342140508,0.0,101.5599900149214,18.398365346256842,18.398365346256842,0.01,97.02933656367351
190.41067342140508,0.0,101.5598049797512,18.39840008459887,18.39840008459887,0.01,97.0295215988437
190.41067342140508,0.0,101.5598049797512,18.39840008459887,18.39840008459887,0.01,97.0295215988437
190.41067342140508,0.0,101.5598049797512,18.39840008459887,18.39840008459887,0.01,97.0295215988437
190.41067342140508,0.0,101.55971338721008,18.39841728010261,18.39841728010261,0.01,97.02961319138483
190.41067342140508,0.0,101.55971338721008,18.39841728010261,18.39841728010261,0.01,97.02961319138483
190.41067342140508,0.0,101.55966804886991,18.398425791882946,18.398425791882946,0.01,97.029658529725
190.41067342140508,0.0,101.55964560638361,18.39843000521568,18.39843000521568,0.01,97.0296809722113
190.41067342140508,0.0,101.55964560638361,18.39843000521568,18.39843000521568,0.01,97.0296809722113
190.41067342140508,0.0,101.55964560638361,18.39843000521568,18.39843000521568,0.01,97.0296809722113
190.41067342140508,0.0,101.55964560638361,18.39843000521568,18.39843000521568,0.01,97.0296809722113
190.41067342140508,0.0,101.55963449735096,18.398432090815742,18.398432090815742,0.01,97.02969208124395
190.41067342140508,0.0,101.55962899837931,18.398433123187864,18.398433123187864,0.01,97.0296975802156
190.41067342140508,0.0,101.55962627638822,18.398433634212086,18.398433634212086,0.01,97.02970030220669
190.41067342140508,0.0,101.55962627638822,18.398433634212086,18.398433634212086,0.01,97.02970030220669
190.41067342140508,0.0,101.55962627638822,18.398433634212086,18.398433634212086,0.01,97.02970030220669
190.41067342140508,0.0,101.5596249290026,18.398433887169084,18.398433887169084,0.01,97.02970164959231
190.41067342140508,0.0,101.55962426204671,18.398434012382797,18.398434012382797,0.01,97.0297023165482
